SearchQuery,URL,Score,Position,Title,Description,CreatedAt
вывести войска с территории Украины,https://tass.ru/mezhdunarodnaya-panorama/13930871,1,1,Генассамблея ООН рассмотрит резолюцию с требованием ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.vedomosti.ru/politics/news/2022/03/02/911761-genassambleya-oon-potrebovala-ot-rossii-vivesti-voiska-iz-ukraini,2,2,Генассамблея ООН потребовала от России ... - Ведомости,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.currenttime.tv/a/un-russia-ukraine/31732764.html,3,3,Генассамблея ООН призвала Россию прекратить военные ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.dw.com/ru/genassambleja-oon-trebuet-ot-rf-nemedlenno-vyvesti-vojska-iz-ukrainy/a-60992338,4,4,Генассамблея ООН требует от РФ вывести войска из ... - DW,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.forbes.ru/society/457839-genassamblea-oon-potrebovala-ot-rossii-vyvesti-vojska-iz-ukrainy,5,5,Генассамблея ООН потребовала от России ... - Forbes.ru,преди 22 часа —,1646349131
вывести войска с территории Украины,https://snob.ru/news/generalnaya-assambleya-oon-potrebovala-ot-rossii-vyvesti-vojska-s-territorii-ukrainy/,6,6,Генассамблея ООН потребовала от России вывести ... - Сноб,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.pravda.com.ua/rus/news/2022/03/2/7327544/,7,7,Генассамблея ООН осудила вторжение России и призвала ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://meduza.io/news/2022/03/02/genassambleya-oon-prinyala-rezolyutsiyu-s-trebovaniem-vyvesti-rossiyskie-voyska-iz-ukrainy-protiv-golosovali-tolko-rf-belarus-siriya-kndr-i-eritreya,8,8,Генассамблея ООН приняла резолюцию с ... - Meduza,преди 1 ден —,1646349131
вывести войска с территории Украины,https://vlast.kz/novosti/48966-genassamblea-oon-potrebovala-ot-rossii-vyvesti-vojska-iz-ukrainy.html,9,9,Генассамблея ООН потребовала от России ... - Vlast.kz,преди 1 ден —,1646349131
вывести войска с территории Украины,https://ria.ru/20220228/ukraina-1775519606.html,10,10,Украина на переговорах призовет вывести российские ...,преди 4 дни —,1646349131
вывести войска с территории Украины,https://www.ekhokavkaza.com/a/genassambleya-oon-prizvala-rossiyu-nemedlenno-vyvesti-voyska-iz-ukrainy/31732759.html,11,11,Генассамблея ООН призвала Россию ... - Эхо Кавказа,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.bbc.com/russian/news-60588351,12,12,Миллион беженцев из Украины за неделю. Главное о ...,преди 15 часа —,1646349131
вывести войска с территории Украины,https://rus.ozodi.org/a/31732900.html,13,13,Генассамблея ООН призвала Россию ... - Радио Озоди,преди 1 ден —,1646349131
вывести войска с территории Украины,https://iz.ru/1296608/2022-02-25/v-es-prizvali-rossiiu-vyvesti-voiska-iz-ukrainy,14,14,В ЕС призвали Россию вывести войска из Украины | Новости,преди 7 дни —,1646349131
вывести войска с территории Украины,https://ru.euronews.com/2022/03/02/russia-ukraine-invasion-day-7-online,15,15,Война на Украине - Прямая текстовая трансляция - Euronews,преди 2 дни —,1646349131
вывести войска с территории Украины,https://news.un.org/ru/story/2022/03/1419092,16,16,Генассамблея ООН потребовала от России «немедленно,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.svoboda.org/a/genassambleya-oon-prizvala-rossiyu-nemedlenno-vyvesti-voyska-iz-ukrainy/31732721.html,17,17,Генассамблея ООН призвала Россию ... - Радио Свобода,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.mk.ru/politics/2022/03/02/genassambleya-oon-potrebovala-u-rossii-vyvesti-voyska-iz-ukrainy.html,18,18,Генассамблея ООН потребовала у России вывести войска ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.severreal.org/a/genassambleya-oon-potrebovala-ot-rossii-vyvesti-voyska-iz-ukrainy/31732708.html,19,19,Генассамблея ООН потребовала от ... - Север Реалии,преди 1 ден —,1646349131
вывести войска с территории Украины,https://zn.ua/POLITICS/henassambleja-oon-prinjala-rezoljutsiju-s-trebovaniem-k-rf-vyvesti-vojska-iz-ukrainy.html,20,20,Резолюцию ООН против РФ поддержала 141 страна мира,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.rbc.ru/politics/22/02/2022/6214ba859a79479d2153b081,21,21,Зеленский отказался выводить войска из Донбасса - РБК,22.02.2022 г. —,1646349131
вывести войска с территории Украины,https://zona.media/news/2022/03/02/oon,22,22,Генассамблея ООН призвала Россию вывести ... - Медиазона,преди 1 ден —,1646349131
вывести войска с территории Украины,https://novayagazeta.ru/articles/2022/03/02/genassambleia-oon-priniala-rezoliutsiiu-s-trebovaniem-k-rossii-vyvesti-voiska-iz-ukrainy-news,23,23,Генассамблея ООН приняла резолюцию с ... - Новая Газета,преди 1 ден —,1646349131
вывести войска с территории Украины,https://day.kyiv.ua/ru/news/020322-genassambleya-oon-prinyala-rezolyuciyu-trebuyushchuyu-ot-rf-nemedlenno-vyvesti-voyska-iz,24,24,"Генассамблея ООН приняла резолюцию, требующую от ...",преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.kommersant.ru/doc/5229593,25,25,"Пушилин: Украина должна вывести войска из ДНР, иначе в ...",23.02.2022 г. —,1646349131
вывести войска с территории Украины,https://tjournal.ru/news/551371-genassambleya-oon-prinyala-rezolyuciyu-s-trebovaniem-ot-rossii-vyvesti-voyska-iz-ukrainy,26,26,Генассамблея ООН приняла резолюцию с требованием от ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.norden.org/en/news/severnyy-sovet-reshitelno-osuzhdaet-napadenie-rossii-na-ukrainu,27,27,Северный совет решительно осуждает нападение России ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.kavkaz-uzel.eu/articles/373791/,28,28,Генассамблея ООН потребовала вывести российские ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://ru.krymr.com/a/news-genasambleya-rezoliuziya-po-ukraine/31732877.html,29,29,"Генассамблея ООН приняла резолюцию, в которой ...",преди 1 ден —,1646349131
вывести войска с территории Украины,https://hromadske.ua/ru/posts/genassambleya-oon-prinyala-rezolyuciyu-s-trebovaniem-k-rossii-prekratit-napadenie-na-ukrainu-i-vyvesti-svoi-vojska,30,30,Генассамблея ООН приняла резолюцию с требованием к ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.golosameriki.com/a/vv-russia-vs-the-world/6468834.html,31,31,"Война в Украине: мир протестует, Кремль не реагирует",преди 4 часа —,1646349131
вывести войска с территории Украины,https://www.sibreal.org/a/bolee-140-stran-oon-potrebovali-ot-rossii-prekratit-voynu/31732732.html,32,32,Более 140 стран ООН потребовали от России прекратить ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022),33,33,Вторжение России на Украину (2022) - Википедия,преди 3 часа —,1646349131
вывести войска с территории Украины,https://dumskaya.net/news/prekratit-voynu-genassambleya-oon-progolosovala-160613/,34,34,Прекратить войну! Генассамблея ООН проголосовала за ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://lenta.ru/news/2022/02/22/vyvodi_voyska/,35,35,В ЛНР призвали Украину добровольно вывести войска из ...,22.02.2022 г. —,1646349131
вывести войска с территории Украины,https://belsat.eu/ru/news/02-03-2022-generalnaya-assambleya-oon-potrebovala-vyvesti-rossijskie-vojska-iz-ukrainy/,36,36,Генеральная Ассамблея ООН потребовала вывести ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://smotrim.ru/article/2684141,37,37,Генассамблея ООН потребовала от России вывести ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.youtube.com/watch?v=8KQ8SJ6bmGQ,38,38,Продвижение российских войск по территории Украины ...,"Продвижение российских войск по территории Украины, воздушная тревога в Киеве, ответные санкции РФ · https://www.youtube.com/user/tvrbcnew... · # ...",1646349131
вывести войска с территории Украины,https://www.unian.net/war/rf-dolzhna-vyvesti-voyska-so-vsey-territorii-v-chastnosti-iz-donbassa-i-kryma-arestovich-novosti-donbassa-11722189.html,39,39,"РФ должна вывести войска со всей территории, в ... - УНИАН",преди 3 дни —,1646349131
вывести войска с территории Украины,https://www.interfax.ru/chronicle/voennaya-operacziya-na-ukraine.html,40,40,Военная операция на Украине - Интерфакс,преди 6 часа —,1646349131
вывести войска с территории Украины,https://www.moscowtimes.ru/2022/03/02/genassambleya-oon-potrebovala-ot-rossii-nemedlenno-vivesti-voiska-iz-ukraini-a18530,41,41,Генассамблея ООН потребовала от России немедленно ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://rus.azattyq.org/a/31732761.html,42,42,Казахстан воздержался при голосовании в ООН по ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.interfax-russia.ru/south-and-north-caucasus/sobytiya-na-ukraine/vlasti-lnr-reshili-predlozhit-ukraine-vyvesti-voyska-s-territorii-vsey-luganskoy-oblasti,43,43,Власти ЛНР решили предложить Украине вывести войска ...,22.02.2022 г. —,1646349131
вывести войска с территории Украины,https://rus.azattyk.org/a/31732791.html,44,44,Кыргызстан воздержался при голосовании в ООН по ...,преди 1 ден —,1646349131
вывести войска с территории Украины,https://news.liga.net/politics/news/peregovory-ukraina-trebuet-polnostyu-vyvesti-voyska-rf-v-tom-chisle-iz-kryma-i-donbassa,45,45,"Переговоры. Арестович считает, что Украина должна ...",преди 3 дни —,1646349131
вывести войска с территории Украины,https://russian.rt.com/inotv/2022-02-24/Moskva-desyatki-let-predosteregala-Zapad,46,46,MSNBC о причинах ввода российских войск на Украину - RT,преди 8 дни —,1646349131
вывести войска с территории Украины,https://kloop.kg/blog/2022/03/03/rezolyutsiya-oon-po-ukraine-kyrgyzstan-vozderzhalsya-ot-golosovaniya/,47,47,Резолюция ООН по Украине. Кыргызстан воздержался от ...,преди 16 часа —,1646349131
вывести войска с территории Украины,https://delo.ua/ru/politics/genassambleya-oon-prinyala-rezolyuciyu-s-trebovaniem-k-rossii-vyvesti-voiska-iz-ukrainy-393722/,48,48,Генассамблея ООН приняла резолюцию с ... - Delo.ua,преди 1 ден —,1646349131
вывести войска с территории Украины,https://www.aa.com.tr/ru/%D0%BC%D0%B8%D1%80/%D0%B3%D0%B0-%D0%BE%D0%BE%D0%BD-%D0%BF%D1%80%D0%B8%D0%B7%D0%B2%D0%B0%D0%BB%D0%B0-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8E-%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8-%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0-%D0%B8%D0%B7-%D0%BA%D1%80%D1%8B%D0%BC%D0%B0/2068984,49,49,ГА ООН призвала Россию вывести войска из Крыма,8.12.2020 г. —,1646349131
вывести войска с территории Украины,https://echo.msk.ru/news/2238592-echo.html,50,50,НАТО призывает Россию вывести войска и наемников с ...,"НАТО призывает Россию вывести войска и наемников с территории Украины. В заявлении альянса осуждается присоединение Крыма и подчеркивается, что действия ...",1646349131
вывести войска с территории Украины,https://www.znak.com/2022-03-03/bolee_600_zhiteley_sahalinskoy_oblasti_podpisali_otkrytoe_pismo_protiv_voyny,51,51,Более 600 жителей Сахалинской области подписали ...,преди 16 часа —,1646349131
вывести войска с территории Украины,https://regnum.ru/news/3488668.html,52,52,Столтенберг потребовал от России «вывести войска - ИА ...,"Брюссель, 26 января 2022, 21:56 — REGNUM России надлежит «отозвать свои войска» с территории Украины, Грузии и Молдавии, заявил 26 января на брифинге генсек ...",1646349131
вывести войска с территории Украины,https://apostrophe.ua/news/politics/foreign-policy/2022-01-30/nujno-vyivesti-voyska-kuleba-otvetil-na-zayavleniya-rossii-o-nejelanii-voynyi/257558,53,53,Кулеба призвал Москву вывести войска из Украины,30.01.2022 г. —,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=qf_uDAAAQBAJ&pg=PT1110&lpg=PT1110&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=g09DdTQ8KB&sig=ACfU3U2y8q0Qo-MbIoTWBM3qk_7_ubpKsw&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQiVAhAD,54,54,История России. XX век. Как Россия шла к ХХ веку. От начала ...,Андрей Зубов,1646349131
вывести войска с территории Украины,https://culturemeter.od.ua/gensek-nato-v-odesse-prizval-rossiju-vyvesti-vojska-s-territorii-ukrainy-79993/,55,55,Генсек НАТО в Одессе призвал Россию вывести войска с ...,31.10.2019 г. —,1646349131
вывести войска с территории Украины,https://www.rline.tv/news/2022-03-03-genassambleya-oon-potrebovala-ot-rossii-vyvesti-voyska-s-ukrainy/,56,56,Генассамблея ООН потребовала от России вывести ...,преди 15 часа —,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=TsGPAwAAQBAJ&pg=PT455&lpg=PT455&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=tehR3HhzvL&sig=ACfU3U2lkVExEyTVa2l1bp2cYDpZ9CCBAQ&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQieAhAD,57,57,500 знаменитых исторических событий - Резултати от Google Книги,,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=KdbWDwAAQBAJ&pg=PT9&lpg=PT9&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=6elBiHGJFz&sig=ACfU3U1v1qv3r_7ZbCai2-HaaI56UipY7A&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQijAhAD,58,58,Мои интервью с политиками - Резултати от Google Книги,,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=EKIyDwAAQBAJ&pg=PT442&lpg=PT442&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=MtJ84bBZTd&sig=ACfU3U22HOIYYpAwp8k4aX9UExDmWJ4nkw&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQiiAhAD,59,59,Гвардия Стального Императора. Тайна происхождения русского ...,,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=9SlGCgAAQBAJ&pg=PA3&lpg=PA3&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=WhHh4QzxCL&sig=ACfU3U2SIWgmaDIzmOyOAFG3D91gwmg_Ng&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQihAhAD,60,60,Аргументы и факты Москва 31-2015,,1646349131
вывести войска с территории Украины,https://anticapitalist.ru/2022/02/25/%D0%BD%D0%B5%D0%BC%D0%B5%D0%B4%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE-%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8-%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0-%D1%81-%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80/,61,61,Немедленно вывести войска с территории Украины!,Немедленно вывести войска с территории Украины! 25.02.2022 25.02.2022 · Facebook Twitter VK Email LiveJournal Telegram.,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=6DSzCQAAQBAJ&pg=PA19&lpg=PA19&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=FwwEUiSgNB&sig=ACfU3U0FRzMygh1ovOkzAaABT3PRzdCj0w&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQikAhAD,62,62,Новая газета 74-2014 - Страница 19 - Резултати от Google Книги,,1646349131
вывести войска с территории Украины,https://books.google.bg/books?id=d7iyCQAAQBAJ&pg=PA6&lpg=PA6&dq=%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8+%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0+%D1%81+%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B&source=bl&ots=8FqtUBE7_D&sig=ACfU3U16C0uLj5gOv4CDhmm5I9fIuoFUZw&hl=bg&sa=X&ved=2ahUKEwiT-e-4iKv2AhWqlYsKHft1ARUQ6AF6BQilAhAD,63,63,Новая газета 25-2015 - Страница 6 - Резултати от Google Книги,,1646349131
вывести войска с территории Украины,https://censor.net/ru/news/410259/pase_prizyvaet_rossiyu_vyvesti_voyiska_s_territorii_ukrainy_i_prekratit_voennuyu_podderjku_boevikov,64,64,Резолюция ПАСЕ по РФ: ПАСЕ призывает Россию вывести ...,12.10.16 19:32 - Резолюция ПАСЕ по РФ: ПАСЕ призывает Россию вывести войска с территории Украины и прекратить военную поддержку боевиков на Донбассе.,1646349131
вывести войска с территории Украины,https://topdialog.ru/2014/11/06/mid-kanady-prizval-rossiyu-vyvesti-vojska-s-territorii-ukrainy/,65,65,МИД Канады призвал Россию вывести войска с ...,6.11.2014 г. —,1646349131
вывести войска с территории Украины,https://ru.osvita.ua/school/39845/,66,66,МАН просит вывести войска РФ с территории Украины,3.03.2014 г. —,1646349131
вывести войска с территории Украины,https://rtvi.com/news/sedmoy-den-voennoy-operatsii-na-ukraine-onlayn/,67,67,Седьмой день военной операции на Украине. Главное - RTVI,Генассамблея ООН приняла резолюцию с требованием к России вывести войска из ... действий на Украине. Она назвала происходящее на украинской территории ...,1646349131
вывести войска с территории Украины,http://avesta.tj/2022/03/03/genassambleya-oon-potrebovala-ot-rossii-nemedlenno-vyvesti-svoi-vojska-iz-ukrainy/,68,68,Генассамблея ООН потребовала от России «немедленно,преди 19 часа —,1646349131
вывести войска с территории Украины,https://rugrad.eu/eu/news/1278475/,69,69,Заявление Председателя Европейской Комиссии ...,преди 5 дни —,1646349131
вывести войска с территории Украины,"https://www.polskieradio24.pl/397/7836/Artykul/2419242,%D0%93%D0%B5%D0%BD%D0%B0%D1%81%D1%81%D0%B0%D0%BC%D0%B1%D0%BB%D0%B5%D1%8F-%D0%9E%D0%9E%D0%9D-%D0%BF%D1%80%D0%B8%D0%B7%D0%B2%D0%B0%D0%BB%D0%B0-%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8E-%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8-%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0-%D0%B8%D0%B7-%D0%9A%D1%80%D1%8B%D0%BC%D0%B0-%D0%B8-%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%82%D1%8C-%D0%BE%D0%BA%D0%BA%D1%83%D0%BF%D0%B0%D1%86%D0%B8%D1%8E-%D1%82%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%B8-%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B",70,70,Генассамблея ООН призвала Россию ... - Polskie Radio 24,10.12.2019 г. —,1646349131
вывести войска с территории Украины,https://www.coe.int/de/web/portal/full-news/-/asset_publisher/y5xQt7QdunzT/content/ukraine-pace-has-said-that-only-significant-progress-by-russia-can-form-basis-for-full-fledged-dialogue?_101_INSTANCE_y5xQt7QdunzT_languageId=ru_RU,71,71,Ukraine: Nur „deutliche“ Fortschritte Russlands können Grundlage ...,"... Украине возможность восстановить свой контроль на полуострове"", вывести войска с территории Украины и прекратить поставки военной техники сепаратистам.",1646349131
