SearchQuery,URL,Score,Position,Title,Description,CreatedAt
вывести войска с территории Украины,https://esp.md/ru/sobytiya/2022/03/03/genassambleya-oon-trebuet-ot-rossii-vyvesti-voyska-iz-ukrainy,29,29,Генассамблея ООН требует от России вывести ... - eSP.md,il y a 17 heures —,1646355082
вывести войска с территории Украины,https://tjournal.ru/news/551371-genassambleya-oon-prinyala-rezolyuciyu-s-trebovaniem-ot-rossii-vyvesti-voyska-iz-ukrainy,30,30,Генассамблея ООН приняла резолюцию с требованием от ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://nv.ua/world/geopolitics/genassambleya-oon-rezolyuciya-s-trebovaniem-rf-ostanovit-napadenie-na-ukrainu-poslednie-novosti-50221755.html,31,31,Генассамблея ООН — резолюция с требованием РФ ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.kommersant.ru/doc/5229593,32,32,"Пушилин: Украина должна вывести войска из ДНР, иначе в ...",23 févr. 2022 —,1646355082
вывести войска с территории Украины,https://ru.euronews.com/2022/03/02/russia-ukraine-invasion-day-7-online,33,33,Война на Украине: Минобороны РФ впервые сообщило о ...,il y a 2 jours —,1646355082
вывести войска с территории Украины,https://smotrim.ru/article/2684141,34,34,Генассамблея ООН потребовала от России вывести ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://belsat.eu/ru/news/02-03-2022-generalnaya-assambleya-oon-potrebovala-vyvesti-rossijskie-vojska-iz-ukrainy/,35,35,Генеральная Ассамблея ООН потребовала вывести ...,,1646355082
вывести войска с территории Украины,https://delo.ua/ru/politics/genassambleya-oon-prinyala-rezolyuciyu-s-trebovaniem-k-rossii-vyvesti-voiska-iz-ukrainy-393722/,36,36,Генассамблея ООН приняла резолюцию с ... - Delo.ua,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.rline.tv/news/2022-03-03-genassambleya-oon-potrebovala-ot-rossii-vyvesti-voyska-s-ukrainy/,37,37,Генассамблея ООН потребовала от России вывести ...,il y a 17 heures —,1646355082
вывести войска с территории Украины,https://www.unian.net/war/rf-dolzhna-vyvesti-voyska-so-vsey-territorii-v-chastnosti-iz-donbassa-i-kryma-arestovich-novosti-donbassa-11722189.html,38,38,"РФ должна вывести войска со всей территории, в ... - УНИАН",il y a 3 jours —,1646355082
вывести войска с территории Украины,https://petrimazepa.com/genassambleya_oon_trebuet_ot_rossii_nemedlenno_vyvesti_voyska_iz_ukrainy,39,39,Генассамблея ООН требует от России немедленно ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.ua-football.com/ukrainian/high/1646242807-oon-trebuet-ot-rossii-vyvesti-voyska-iz-ukrainy.html,40,40,ООН требует от России вывести войска из Украины - UA ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://freeradio.com.ua/ru/henassambleia-oon-trebuet-v-rf-vyvesty-voiska-yz-ukrayny/,41,41,Генассамблея ООН требует в РФ вывести войска из Украины,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://yandex.ru/news/instory/GA_OON_potrebovala_otRossii_prekratit_operaciyu_naUkraine_i_vyvesti_vojska--e3434e90405b8563fe5141f5f624f76e?lr=29646&content=alldocs&stid=BQDwAPaS3aVvqBNE75Ch&persistent_id=182599733&from=story,42,42,ГА ООН потребовала от России прекратить операцию на ...,il y a 4 jours —,1646355082
вывести войска с территории Украины,https://www.024.by/2022/03/genassambleya-oon-trebuet-vyvesti-vojska-rf-iz-ukrainy/,43,43,Генассамблея ООН требует вывести войска РФ из Украины,il y a 11 heures —,1646355082
вывести войска с территории Украины,https://news.depo.ua/rus/news/genasambleya-oon-vimagae-vid-rosii-vivesti-viyska-z-ukraini-khto-ti-chotiri-kraini-yaki-progolosuvali-proti-202203021430863,44,44,Генассамблея ООН требует от России вывести войска из ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://sobesednik.ru/politika/20220302-genassambleya-oon-potrebovala-ot-rossii-n,45,45,Генассамблея ООН потребовала от России ... - Собеседник,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://crimea-news.com/society/2022/03/02/897503.html,46,46,Генассамблея ООН рассмотрит ... - Лента новостей Крыма,il y a 2 jours —,1646355082
вывести войска с территории Украины,https://thepage.ua/politics/rezolyuciya-genassamblei-oon-rossiya-dolzhna-vyvesti-vse-vojska-iz-ukrainy-vklyuchaya-dnr-lnr-i-krym,47,47,Генассамблея ООН требует от России вывести свои ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://news.liga.net/politics/news/peregovory-ukraina-trebuet-polnostyu-vyvesti-voyska-rf-v-tom-chisle-iz-kryma-i-donbassa,48,48,"Переговоры. Арестович считает, что Украина должна ...",il y a 3 jours —,1646355082
вывести войска с территории Украины,https://1line.info/news/politic/genassambleya-oon-potrebovala-ot-rossii-nemedlenno-vyvesti-svoi-voyska-iz-ukrainy.html,49,49,Генассамблея ООН потребовала от России ... - ИА 1-LINE,il y a 24 heures —,1646355082
вывести войска с территории Украины,https://censor.net/ru/news/3320807/genassambleya_oon_prinyala_rezolyutsiyu_trebuyuschuyu_ot_rf_nemedlenno_vyvesti_voyiska_iz_ukrainy,50,50,Генассамблея ООН приняла резолюцию ... - Цензор.НЕТ,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://dumskaya.net/news/prekratit-voynu-genassambleya-oon-progolosovala-160613/,51,51,Прекратить войну! Генассамблея ООН проголосовала за ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.norden.org/en/news/severnyy-sovet-reshitelno-osuzhdaet-napadenie-rossii-na-ukrainu,52,52,Северный совет решительно осуждает нападение России ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://frontnews.eu/ru/news/details/21244,53,53,Генассамблея приняла резолюцию с требованием к РФ ...,il y a 16 heures —,1646355082
вывести войска с территории Украины,https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022),54,54,Вторжение России на Украину (2022) - Википедия,il y a 2 heures —,1646355082
вывести войска с территории Украины,https://ru.espreso.tv/genassambleya-oon-prinyala-rezolyutsiyu-trebuyushchuyu-ot-rossiyan-vyvesti-voyska-iz-ukrainy,55,55,"Генассамблея ООН приняла резолюцию, требующую от ...","... ООН приняла резолюцию, требующую от россиян вывести войска из Украины ... ""Военные действия Российской Федерации на суверенной территории Украины ...",1646355082
вывести войска с территории Украины,https://novoeizdanie.com/genassambleya-oon-potrebovala-rf-vyvesti-vojska-iz-ukrainy/,56,56,Генассамблея ООН потребовала у РФ вывести войска из ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://nashemisto.dp.ua/2022/03/02/genassambleja-oon-prinjala-rezoljuciju-kotoraja-prizyvaet-rossiju-vyvesti-vojska-iz-ukrainy/,57,57,"Генассамблея ООН приняла резолюцию, которая ...",il y a 1 jour —,1646355082
вывести войска с территории Украины,https://24tv.ua/ru/zelenskij-poblagodaril-strany-kotorye-progolosovali-za-vyvod_n1887630,58,58,"Зеленский поблагодарил страны, которые проголосовали ...",il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.msn.com/ru-ru/news/featured/%D0%B3%D0%B5%D0%BD%D0%B0%D1%81%D1%81%D0%B0%D0%BC%D0%B1%D0%BB%D0%B5%D1%8F-%D0%BE%D0%BE%D0%BD-%D0%BF%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BB%D0%B0-%D0%BE%D1%82-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8-%D0%B2%D1%8B%D0%B2%D0%B5%D1%81%D1%82%D0%B8-%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%B0-%D1%81-%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B/ar-AAUwsSh,59,59,Генассамблея ООН потребовала от России вывести ... - MSN,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://ipress.ua/ru/news/pase_potrebuet_u_rossyy_vivesty_voyska_yz_ukrayni__proekt_rezolyutsyy_183983.html,60,60,ПАСЕ потребует у России вывести войска из Украины,12 oct. 2016 —,1646355082
вывести войска с территории Украины,https://echo.msk.ru/news/2238592-echo.html,61,61,НАТО призывает Россию вывести войска и наемников с ...,"НАТО призывает Россию вывести войска и наемников с территории Украины. В заявлении альянса осуждается присоединение Крыма и подчеркивается, что действия ...",1646355082
вывести войска с территории Украины,https://newsmaker.md/rus/novosti/nato-prizvalo-rossiyu-vyvesti-voyska-s-ukrainy-rossiya-zaplatit-ochen-vysokuyu-ekonomicheskuyu-i-politicheskuyu-tsenu/,62,62,НАТО призвало Россию вывести войска из Украины.,Североатлантический альянс (НАТО) осудил нападение России на территорию Украины и призвал РФ вывести войска с украинской территории.,1646355082
вывести войска с территории Украины,https://www.newsru.com/world/21nov2014/nato1.html,63,63,Генсек НАТО снова потребовал от России вывести войска ...,21 nov. 2014 —,1646355082
вывести войска с территории Украины,https://lenta.ru/news/2022/02/22/vyvodi_voyska/,64,64,В ЛНР призвали Украину добровольно вывести войска из ...,22 févr. 2022 —,1646355082
вывести войска с территории Украины,https://ukranews.com/news/454184-pase-pryzyvaet-rossyyu-vyvesty-voyska-s-terrytoryy-ukrayny,65,65,ПАСЕ призывает Россию вывести войска с территории Украины ...,Парламентская ассамблея Совета Европы (ПАСЕ) призывает Россию вывести войска с территории Украины и прекратить военную поддержку боевиков на Донбассе. Об.,1646355082
