SearchQuery,URL,Score,Position,Title,Description,CreatedAt
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=Go2uCQAAQBAJ&pg=PA6&lpg=PA6&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=Fmsw2eL_tw&sig=ACfU3U3yAQeeeJ4ZpAZK8XKycyAKGCevsA&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQiiAhAD,18,18,Комсомольская Правда. Москва 12-2015,,1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=UDOvCQAAQBAJ&pg=PA4&lpg=PA4&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=HtV2p4_RaR&sig=ACfU3U1WXhr4LQla-zMWK0FXGjsecJJzWw&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQiqAhAD,19,19,Комсомольская Правда. Москва 146-2014,,1646349139
применение ВСУ фосфорных боеприпасов,https://www.interfax.ru/world/824961,20,20,Минобороны РФ сообщило о применении армией Украины ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=6tKyCQAAQBAJ&pg=PA5&lpg=PA5&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=fL8_gftH04&sig=ACfU3U3tyWZwSZSHPb81X4muyJ8vywAKoQ&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQigAhAD,21,21,КоммерсантЪ 138-2014 - Страница 5 - Резултати от Google Книги,,1646349139
применение ВСУ фосфорных боеприпасов,https://ukraina.ru/news/20220227/1033390114.html,22,22,Россия расследует применение Киевом фосфорных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.kp.ru/online/news/4645770/,23,23,СК расследует факты использования ВСУ фосфорных ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://tass.ru/obschestvo/13887183,24,24,Бастрыкин поручил расследовать факты ... - ТАСС,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.osnmedia.ru/obshhestvo/onishhenko-rasskazal-ob-opasnosti-primeneniya-vsu-fosfornyh-boepripasov/,25,25,Онищенко рассказал об опасности применения ВСУ ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://mungaz.net/oficial/43146-glava-sk-rossii-poruchil-rassledovat-primenenie-vsu-fosfornyx-boepripasov.html,26,26,Глава СК России поручил расследовать применение ВСУ ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://sigma-z.ru/bastrykin-poruchil-rassledovat-fakty-primeneniya-vsu-fosfornyh-boepripasov/,27,27,Бастрыкин поручил расследовать факты ... - Sigma-z.rU,преди 4 дни —,1646349139
